"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5360915","SLD","2400 10TH ST","ORLANDO","32820","EAST ORLANDO ESTATES","3,471","$115,000","4","2","0","1972","Private","Single Family Home","$1,923","98","63","118","All Cash","09/04/2015","$38.86","$33.13","0.85","MILLENIUM REALTY GROUP","Adolfo De Leon","261085160","Rene Wagner","50933","261203303","O","Orlando Regional"
"1","O5351774","SLD","242 10TH AVE","OCOEE","34761","NORTH OCOEE ADD","1,696","$75,000","3","2","0","1979","None","Single Family Home","$1,607","102","102","102","All Cash","07/02/2015","$73.70","$44.22","0.60","RE/MAX EXCLUSIVE  COLLECTION","Sandy Fox","261069918","Rick Riviera","261012273","261066439","O","Orlando Regional"
"1","O5392916","SLD","18432 11TH AVE","ORLANDO","32833","BITHLO","1,044","$40,000","2","1","0","1940","None","Single Family Home","$990","10","10","10","All Cash","10/09/2015","$32.09","$38.31","1.19","SMITH REALTY INC","Jesse Smith","261531070","Augusto Martinez","261011488","261212146","O","Orlando Regional"
"1","O5377062","SLD","262 11TH AVE","OCOEE","34761","NORTH OCOEE ADD","1,492","$43,000","3","2","0","1956","None","Single Family Home","$1,735","18","18","18","All Cash","08/25/2015","$25.13","$28.82","1.15","THE TITAN GROUP, INC.","Michael Fouts","261008883","Andre Visser","50845","261091670","O","Orlando Regional"
"1","O5369966","SLD","125 E 12TH ST","APOPKA","32703","CLARKSVILLE","864","$17,000","2","1","0","1930","None","Single Family Home","$777","77","77","77","All Cash","09/03/2015","$21.99","$19.68","0.89","SMITH REALTY INC","Jesse Smith","261531070","Jim McKinney","261011553","261093574","O","Orlando Regional"
"1","O5349583","SLD","210 13TH AVE","OCOEE","34761","NORTH OCOEE ADD","1,659","$147,000","4","3","0","1984","None","Single Family Home","$1,919","27","27","27","New FHA","06/15/2015","$90.36","$88.61","0.98","FLORIDA DREAMS REALTY GRP INC","Adriana Montes","261085563","April Rager","260503109","260565348","O","Orlando Regional"
"1","O5397300","SLD","415 E 13TH ST","APOPKA","32703","HACKNEY PROP","1,200","$29,000","3","1","0","1978","None","Single Family Home","$994","60","60","91","All Cash","01/29/2016","$29.08","$24.17","0.83","THE DEVINNEY REAL ESTATE GRP","Karen DeVinney","261067487","Marina Munoz","261011031","261206668","O","Orlando Regional"
"1","O5424424","SLD","721 E 13TH ST","APOPKA","32703","ACREAGE & UNREC","1,344","$85,000","2","2","0","1966","None","Single Family Home","$547","25","25","25","New FHA","05/11/2016","$59.45","$63.24","1.06","CREEGAN PROPERTY GROUP","Chris Creegan","261094292","Thomas Wardzala","261012158","261214800","O","Orlando Regional"
"1","O5354429","SLD","300 15TH AVE","OCOEE","34761","NORTH OCOEE ADD","1,005","$62,000","3","1","0","1989","None","Single Family Home","$778","89","89","194","All Cash","11/30/2015","$74.63","$61.69","0.83","VINTAGE PROPERTIES GROUP","Paul Giles","261069893","Paul Giles","55643","261069893","O","Orlando Regional"
"1","O5395610","SLD","311 15TH AVE","OCOEE","34761","NORTH OCOEE ADD","916","$64,044","2","1","0","1969","None","Single Family Home","$1,132","32","32","32","All Cash","11/03/2015","$38.19","$69.92","1.83","OWNERS.COM","Steve Sibiga","261201966","Susan Richter","20567","261065626","O","Orlando Regional"
"1","O5410807","SLD","199 16TH AVE","OCOEE","34761","NORTH OCOEE ADD","660","$81,000","2","1","0","1954","None","Single Family Home","$669","28","28","43","USDA","04/14/2016","$118.94","$122.73","1.03","FLORIDA REALTY INVESTMENTS","Gayle Stanley","261081864","Gayle Stanley","50344","261081864","O","Orlando Regional"
"1","O5416923","SLD","310 16TH AVE","OCOEE","34761","NORTH OCOEE ADD","1,370","$70,000","3","1","1","1940","None","Single Family Home","$682","15","15","15","All Cash","03/17/2016","$49.56","$51.09","1.03","CHARLES RUTENBERG REALTY","Paul Larson","261200934","Nicole May","260503902","260502926","O","Orlando Regional"
"1","O5399157","SLD","1000 17TH ST","ORLANDO","32805","ANGEBILT ADD","792","$30,000","1","1","0","1954","None","Single Family Home","$557","23","23","28","All Cash","11/30/2015","$40.28","$37.88","0.94","CENTURY 21 ROO REALTY","Ed Hru","261002182","John Henthorn","261011817","261065902","O","Orlando Regional"
"1","O5414308","SLD","1213 18TH ST","ORLANDO","32805","ANGEBILT ADD","787","$28,000","3","1","0","1938","None","Single Family Home","$492","23","23","27","All Cash","02/25/2016","$40.66","$35.58","0.88","BRENNAN REAL ESTATE GROUP LLC","Andrew Crichton","261210903","Zampeta Anderson","59638","261208080","O","Orlando Regional"
"1","O5380175","SLD","615 18TH ST","ORLANDO","32805","ANGEBILT ADD","931","$36,000","2","1","0","1954","None","Single Family Home","$567","9","9","9","New Conventional","07/31/2015","$42.86","$38.67","0.90","SAND DOLLAR REALTY GROUP INC","Robert Arnold, Jr","261061021","Erich Spivey","50847","261211724","O","Orlando Regional"
"1","O5389453","SLD","1432 19TH ST","ORLANDO","32805","CLEAR LAKE VIEWS","972","$29,000","4","1","0","1934","None","Single Family Home","$1,391","281","72","72","All Cash","12/04/2015","$41.14","$29.84","0.73","COLDWELL BANKER RESIDENTIAL RE","Randall Gill","261071917","Michelle Thomas","54867","261097697","O","Orlando Regional"
"1","O5355742","SLD","606 19TH ST","ORLANDO","32805","WESTWOOD GARDENS SUB","1,177","$20,000","2","1","0","1951","None","Single Family Home","$519","51","51","57","All Cash","08/03/2015","$18.69","$16.99","0.91","FLORIDA DREAMS REALTY GRP INC","Adriana Montes","261085563","Adriana Montes","261010918","261085563","O","Orlando Regional"
"1","S4816438","SLD","1115 1ST ST","ORLANDO","32824","SPAHLERS RESUB","1,518","$75,000","4","1","0","1957","None","Single Family Home","$677","8","8","8","All Cash","08/19/2015","$46.05","$49.41","1.07","ROAD HOUSE REALTY INC.","Licinio Brizzio","272505120","Julio Lopez","54599","261073280","S","Osceola"
"1","O5224357","SLD","401 1ST ST","OCOEE","34761","HILLCREST HGTS","1,762","$75,500","2","1","0","1958","None","Single Family Home","$1,061","292","292","293","New Conventional","08/14/2015","$42.51","$42.85","1.01","SAND DOLLAR REALTY GROUP INC","Rani Kaur","261070833","Rani Kaur","54580","261070833","O","Orlando Regional"
"1","O5377601","SLD","601 E 1ST ST","APOPKA","32703","WEKIVA HWY PARK","1,388","$36,150","3","1","0","1954","None","Single Family Home","$1,073","12","12","12","All Cash","07/29/2015","$16.21","$26.04","1.61","1 ABLE REALTY LLC","Jarrett West","261096647","Magno Reategui","55735","261064258","O","Orlando Regional"
"1","O5405848","SLD","9454 1ST AVE","ORLANDO","32824","TAFT TOWN","1,068","$91,000","2","2","0","1953","None","Single Family Home","$1,283","14","14","14","All Cash","12/19/2015","$83.33","$85.21","1.02","PR REAL ESTATE SERVICES","Guy Burkholder","261203326","Julio Lopez","261012661","261073280","O","Osceola"
"1","O5342900","SLD","907 20TH ST","ORLANDO","32805","ANGEBILT ADD","825","$23,000","3","1","0","1930","None","Single Family Home","$290","106","106","128","All Cash","09/29/2015","$33.82","$27.88","0.82","EXIT REAL ESTATE RESULTS","Darcie Englert","261066461","Darcie Englert","55912A","261066461","O","Orlando Regional"
"1","O5408278","SLD","906 24TH ST","ORLANDO","32805","ANGEBILT ADD","440","$26,000","1","1","0","1945","None","Single Family Home","$1,015","4","4","4","All Cash","12/28/2015","$56.59","$59.09","1.04","Yche Realty","Ali Yche","272503143","Zampeta Anderson","59638","261208080","O","Orlando Regional"
"1","T2758742","SLD","1010 25TH ST","ORLANDO","32805","ANGEBILT ADD","1,400","$35,000","2","1","0","1900","None","Single Family Home","$267","13","13","192","New Private","01/15/2016","$25.00","$25.00","1.00","EVERGREEN PROPERTIES USA, INC.","Fook Snipper","261094355","NON MFR REALTOR","55055","123456789","T","Orlando Regional"
"1","O5361303","SLD","1618 26TH ST","ORLANDO","32805","RIO GRANDE TERR 5TH ADD","1,339","$56,000","2","1","1","1960","None","Single Family Home","$235","9","9","9","All Cash","06/11/2015","$25.32","$41.82","1.65","Mainframe Real Estate","Nicholas Wild","261082331","Ana Fernandez","59638","272503150","O","Orlando Regional"
"1","O5368150","SLD","911 26TH ST","ORLANDO","32805","ANGEBILT ADD","1,374","$64,000","3","2","0","1930","None","Single Family Home","$1,255","109","109","127","New Conventional","11/17/2015","$50.95","$46.58","0.91","NICOLE-HUDSON REALTY CORP","Chere Roane","261064971","Becky Gordon","54033","261096759","O","Orlando Regional"
"1","O5381980","SLD","1627 27TH","ORLANDO","32805","RIO GRANDE TERRACE ADD 06","2,030","$38,800","3","2","0","1960","None","Single Family Home","$972","9","9","9","All Cash","09/18/2015","$8.87","$19.11","2.16","SUN CREST FLORIDA PROPERTIES","Mary Cubelo-Hinton","261014693","Ada Sanchez","261011662","261013918","O","Orlando Regional"
"1","S4816153","SLD","222 2ND ST","ORLANDO","32824","TAFT TOWN","1,143","$20,000","3","1","0","1959","None","Single Family Home","$434","13","13","13","All Cash","08/19/2015","$17.50","$17.50","1.00","CHANGING LATITUDES REAL ESTATE","James Schreck, III","272500330","Maria Jimenez","59994","261201088","S","Osceola"
"1","O5382939","SLD","9653 2ND AVE","ORLANDO","32824","TAFT TOWN","1,058","$110,000","3","2","0","1992","None","Single Family Home","$1,280","6","6","6","New FHA","09/15/2015","$108.70","$103.97","0.96","KELLER WILLIAMS CLASSIC REALTY","Reshack Dit","261207372","Alexia Boodram","261011075","261210522","O","Orlando Regional"
"1","O5378754","SLD","1212 36TH ST","ORLANDO","32805","ANGEBILT ADD","983","$21,950","2","2","0","1946","None","Single Family Home","$798","12","12","12","All Cash","08/19/2015","$29.50","$22.33","0.76","WRI PROPERTY MANAGEMENT LLC","Fredrik Eriksson","278023687","Gregory Alexander","779406","261549480","O","Orlando Regional"
"1","O5414456","SLD","1632 36TH ST","ORLANDO","32839","RIO GRANDE TERRACE ADD 07","1,356","$42,237","3","2","1","1961","None","Single Family Home","$1,265","5","5","5","All Cash","02/05/2016","$38.35","$31.15","0.81","Future Home Realty Inc","Scott Nance","261209956","Scott Nance","260011623","261209956","O","Pinellas Suncoast"
"1","O5407931","SLD","1741 36TH ST","ORLANDO","32839","RIO GRANDE TERR 7TH ADD","1,322","$99,500","3","2","0","1962","None","Single Family Home","$720","27","27","27","New FHA","01/26/2016","$79.43","$75.26","0.95","METRO BROKERS REALTY","Cindy Elkhander","261087247","Anastasia Semenov","261010513","272507605","O","Orlando Regional"
"1","O5418244","SLD","1023 37TH ST","ORLANDO","32805","ANGEBILT ADD","624","$28,500","2","1","0","1947","None","Single Family Home","$590","49","49","49","All Cash","04/18/2016","$55.93","$45.67","0.82","PRODIGY PROPERTIES LLC","Nydia Centeio, PA","278521820","Michelle Sims","54867","261097697","O","Orlando Regional"
"1","O5381308","SLD","1617 37TH ST","ORLANDO","32839","RIO GRANDE TERRACE ADD 04","1,614","$93,000","3","1","0","1959","None","Single Family Home","$984","31","6","6","New Private","08/14/2015","$60.41","$57.62","0.95","LA ROSA REALTY, LLC","Demario Harris","261207989","Franc Marrero","56563","261083350","O","Orlando Regional"
"1","O5413654","SLD","1621 37TH ST","ORLANDO","32839","RIO GRANDE TERRACE ADD 04","1,173","$52,750","3","1","1","1959","None","Single Family Home","$940","21","21","38","All Cash","04/29/2016","$49.87","$44.97","0.90","CHIODO REALTY GROUP INC","Russell Chiodo","261096735","NON MFR REALTOR","55055","123456789","O","Orlando Regional"
"1","S4811473","SLD","1800 37TH ST","ORLANDO","32839","RIO GRANDE TERRACE ADD 04","1,440","$85,000","3","2","0","1960","None","Single Family Home","$953","132","132","132","New Conventional","08/31/2015","$59.03","$59.03","1.00","Empire Network Realty","Efrain Acevedo","261203170","Efrain Acevedo","261012046","261203170","S","Orlando Regional"
"1","O5394515","SLD","1411-1413 38TH ST","ORLANDO","32839","ANGEBILT ADD","1,620","$85,000","4","2","0","1981","None","Single Family Home","$1,370","5","5","5","All Cash","10/27/2015","$49.32","$52.47","1.06","CLASSIC 1 REALTY INC","Ken Ashori","261065742","Sandra Theodore-Gajraj","50096","261082275","O","Orlando Regional"
"1","O5383293","SLD","1430 38TH ST","ORLANDO","32839","ANGEBILT ADD","1,492","$37,000","3","1","0","1948","None","Single Family Home","$1,183","22","22","22","All Cash","09/04/2015","$26.74","$24.80","0.93","RE/MAX 200 REALTY","Hazel Hissam","261050607","Marie Trandoan","56563","261008603","O","Orlando Regional"
"1","O5374025","SLD","1197 39TH ST","ORLANDO","32805","ANGEBILT ADD","1,487","$50,000","2","1","0","1936","None","Single Family Home","$920","211","30","30","All Cash","08/11/2015","$40.35","$33.62","0.83","ANNE ROGERS REALTY GROUP INC","Anne Brownlee","261092138","Jose Gerena","55171","272505993","O","Orlando Regional"
"1","O5310741","SLD","1421 39TH ST","ORLANDO","32839","ANGEBILT ADD","1,209","$28,100","2","2","0","1957","None","Single Family Home","$1,281","216","216","369","All Cash","09/04/2015","$28.95","$23.24","0.80","SUN CREST FLORIDA PROPERTIES","Mary Cubelo-Hinton","261014693","Amanda Singh","261012025","261201940","O","Orlando Regional"
