"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","S4820429","SLD","608 CHEETAH LN","POINCIANA","34759","POINCIANA NBRHD 03 VILLAGE 03","1,577","$115,000","3","2","0","1992","None","Single Family Home","$1,036","83","83","95","New FHA","03/28/2016","$72.61","$72.92","1.00","DREAM BUILDERS REALTY","Tim Weisheyer","261063744","Donavon Johnson","272550131","278021116","S","Osceola"
"1","L4705522","SLD","104 CHEROKEE DR","AUBURNDALE","33823","INDIAN SPGS PH 02","1,536","$119,000","4","2","0","1998","None","Single Family Home","$512","66","66","38","All Cash","06/04/2015","$77.80","$77.47","1.00","KELLER WILLIAMS REALTY","Ben Becton","265501579","Brenda Haygood-Walker","395015","265501723","L","Lakeland"
"1","P4702936","SLD","118 CHEROKEE DR","AUBURNDALE","33823","INDIAN SPGS PH 02","1,837","$105,000","3","2","0","1997","None","Single Family Home","$609","40","40","40","New FHA","08/07/2015","$59.88","$57.16","0.95","RE/MAX PARAMOUNT PROPERTIES","Rhonda Summerall","255000143","Mandy McVay","56408","255001075","P","Lakeland"
"1","P4707075","SLD","122 CHEROKEE DR","AUBURNDALE","33823","INDIAN SPGS PH II","1,395","$107,000","3","2","0","1997","None","Single Family Home","$1,181","12","12","12","New VA","11/04/2015","$75.27","$76.70","1.02","LOCKHART & ASSOCIATES INC","Paula Penna","255000901","Donna Barron","330701","255001120","P","East Polk"
"1","L4708986","SLD","1918 CHEROKEE TRL","LAKELAND","33803","BEACON HILL","3,715","$425,000","5","3","1","1954","Private","Single Family Home","$3,464","237","53","53","Not Applicable","12/28/2015","$121.10","$114.40","0.94","COLDWELL BANKER RESIDENTIAL RE","Teresa Knowles","265500110","Cannon Kirby","265578063","265577987","L","Lakeland"
"1","L4709843","SLD","2275 E CHEROKEE ST","BARTOW","33830","COUNTRY CLUB ADD","1,476","$120,000","3","2","0","1979","None","Single Family Home","$538","19","19","19","New FHA","12/22/2015","$88.01","$81.30","0.92","KELLER WILLIAMS REALTY","Brian Stephens","265500392","Autumn Derespiris","265500286","265577840","L","Lakeland"
"1","L4707976","SLD","1045 CHERRY LN","LAKELAND","33811","ACREAGE & UNREC","864","$41,000","2","1","0","1962","None","Single Family Home","$588","44","44","65","All Cash","10/27/2015","$51.50","$47.45","0.92","HOMEQUEST LLC","Donna Bryant","265500353","Wayne Meadows, Jr.","56408","255001085","L","Lakeland"
"1","L4705958","SLD","3928 CHERRY WAY","LAKELAND","33805","NORTHWOOD MANOR","1,160","$89,000","3","2","0","1956","None","Single Family Home","$1,255","330","149","224","Not Applicable","12/07/2015","$76.72","$76.72","1.00","COLDWELL BANKER RESIDENTIAL RE","Fran Williams","261068583","Daniel Tuttle","10041","255001897","L","Lakeland"
"1","L4706592","SLD","3205 CHERRY HILL CIR N","LAKELAND","33810","CHERRY HILL","1,461","$127,000","3","2","0","1995","None","Single Family Home","$832","131","131","131","New FHA","01/15/2016","$99.18","$86.93","0.88","WEBPRO REALTY, LLC","Geoff Ingram","265501541","Veronica Davis","265500286","265578096","L","Lakeland"
"1","L4705827","SLD","3247 CHERRY HILL CIR N","LAKELAND","33810","CHERRY HILL","2,059","$169,900","5","2","0","1997","None","Single Family Home","$1,938","128","128","54","USDA","08/19/2015","$82.52","$82.52","1.00","KELLER WILLIAMS REALTY","Ben Becton","265501579","Jennifer Hess","265578063","265578114","L","Lakeland"
