"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5330190","SLD","1413 WARWICK PL","ORLANDO","32806","CONWAY PARK","1,225","$71,300","3","2","0","1934","None","Single Family Home","$843","172","172","262","All Cash","08/21/2015","$73.47","$58.20","0.79","PLATINUM KEY REALTY INC","Judy Julien","261206087","Derek Hovey","261011983","261203800","O","Orlando Regional"
"1","O5405972","SLD","1414 WARWICK PL","ORLANDO","32806","CONWAY TERRACE","1,020","$87,500","3","1","1","1935","None","Single Family Home","$794","46","46","46","All Cash","01/22/2016","$93.04","$85.78","0.92","MICKEY HAGE INC","Mickey Hage","261011104","Derek Hovey","261011983","261203800","O","Orlando Regional"
"1","O5336238","SLD","2911 E WASHINGTON ST","ORLANDO","32803","WILMOTT PINES","575","$130,000","2","1","1","1940","None","Single Family Home","$1,861","223","223","302","All Cash","12/23/2015","$260.70","$226.09","0.87","Mainframe Real Estate","Eric Rollings","261082864","Eric Rollings","261010675","261082864","O","Orlando Regional"
"1","O5385719","SLD","3880 WATCH HILL RD","ORLANDO","32808","SIGNAL HILL UNIT 02","2,031","$118,350","3","2","0","1976","Private","Single Family Home","$1,857","105","105","105","All Cash","12/10/2015","$68.88","$58.27","0.85","Mainframe Real Estate","Nicholas Wild","261082331","James Newgent","781184","651501474","O","Orlando Regional"
"1","O5346427","SLD","3902 WATCH HILL RD","ORLANDO","32808","SIGNAL HILL UNIT 02","1,075","$77,500","3","2","0","1976","None","Single Family Home","$1,160","67","67","193","All Cash","09/10/2015","$71.16","$72.09","1.01","CENTURY 21 ROO REALTY","Ed Hru","261002182","Mike Rance","52403","261050620","O","Orlando Regional"
"1","O5357929","SLD","4388 WATCH HILL RD","ORLANDO","32808","SIGNAL HILL UNIT 02","1,195","$75,000","3","2","0","1976","None","Single Family Home","$488","23","23","32","New Conventional","05/28/2015","$83.26","$62.76","0.75","RE/MAX PROPERTIES SW INC.","Amelia Hunter","272503484","Amelia Hunter","52626","272503484","O","Orlando Regional"
"1","O5369432","SLD","4675 WATCH HILL RD","ORLANDO","32808","VILLAS AT SIGNAL HILL UNIT 01","1,020","$73,000","3","2","0","1978","None","Single Family Home","$1,069","113","113","113","All Cash","10/13/2015","$78.43","$71.57","0.91","FLORIDA QUALITY HOMES & INVEST","Pamela Seetaram","261067103","Diana Chica","60485","272502424","O","Orlando Regional"
"1","O5365092","SLD","10418 WATER HYACINTH DR","ORLANDO","32825","CYPRESS SPGS UNIT 02","1,450","$158,000","3","2","0","1990","Community","Single Family Home","$1,461","83","83","125","New Conventional","12/15/2015","$117.24","$108.97","0.93","WATSON REALTY CORP","Diane Evans","261203866","Gloria Chu","56128","270523141","O","Orlando Regional"
"1","O5381915","SLD","510 WATER WAY CT","OCOEE","34761","HARBOUR HIGHLANDS 02","1,510","$164,900","3","2","0","1987","None","Single Family Home","$2,641","46","46","49","New FHA","10/23/2015","$109.21","$109.21","1.00","SUN CREST FLORIDA PROPERTIES","Andrew Cubelo","261202982","Ed O'Donnell","56563","261065812","O","Orlando Regional"
"1","O5405773","SLD","1717 WATERBEACH CT","APOPKA","32703","PIEDMONT PARK","1,263","$164,900","3","2","0","1989","None","Single Family Home","$1,446","3","3","3","New Conventional","01/07/2016","$130.56","$130.56","1.00","RE/MAX OPTIMA","Cheryl Browning","261210944","Debra Grist","261011829","261094074","O","Orlando Regional"
"1","O5378791","SLD","10827 WATERFORD CT","ORLANDO","32821","WINDMILL POINTE","1,873","$162,000","3","2","0","1980","Community","Single Family Home","$2,448","181","181","86","Assume Conventional","01/11/2016","$96.05","$86.49","0.90","FRONTGATE REALTY","Danielle Plumey","261205028","Eric Amkhinich","272506550","261202898","O","Orlando Regional"
