"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","P4707786","SLD","2013 MARILYN AVE","WINTER HAVEN","33881","LEISURE SHORES","1,942","$122,000","3","3","0","1971","Private","Single Family Home","$931","85","85","85","New Conventional","03/18/2016","$66.17","$62.82","0.95","COLDWELL BANKER RESIDENTIAL RE","J. Michael Nolen, JR","255000095","Nancy Cruz","272503278","272501462","P","East Polk"
"1","S4823528","SLD","237 MARILYN LN","DAVENPORT","33897","FAIRWAYS LAKE ESTATES","2,218","$180,000","4","2","1","1999","Community, Private","Single Family Home","$2,602","413","64","64","New FHA","02/12/2016","$78.90","$81.15","1.03","KELLER WILLIAMS AT THE LAKES","Donna Ross","260035798","Arthur Love","56563","261210292","S","Osceola"
"1","O5409376","SLD","420 MARILYN LN","DAVENPORT","33897","FAIRWAYS LAKE ESTATES","1,361","$165,000","3","2","0","1998","Private","Single Family Home","$2,147","80","80","80","New FHA","04/30/2016","$124.91","$121.23","0.97","ORLANDO 4 VILLAS REALTY LLC","Kerry Hendrick","261095623","Valerie Kennedy","53726","261009555","O","Orlando Regional"
"1","O5364548","SLD","503 MARILYN LN","DAVENPORT","33897","FAIRWAYS LAKE ESTATES, ESPRIT","1,972","$175,000","3","2","1","1999","Private","Single Family Home","$2,515","209","209","209","USDA","03/31/2016","$89.87","$88.74","0.99","CENTRAL FLORIDA HOME DEALS","Carlos Aznar","261088889","Rosie Papagiannakis","55979","261200221","O","Orlando Regional"
"1","L4710941","SLD","1503 MARINER RD","LAKELAND","33803","WOODLAKE AREA 10","1,088","$118,000","2","2","0","1979","None","Single Family Home","$545","29","29","44","New Conventional","03/22/2016","$110.20","$108.46","0.98","ROSS REAL ESTATE INC","Nancy Ross","261065378","Nancy Ross","265522462","261065378","L","Lakeland"
"1","L4711053","SLD","1574 MARINER RD","LAKELAND","33803","WOODLAKE AREA TEN","1,419","$135,000","2","2","0","1981","None","Single Family Home","$1,995","2","2","53","All Cash","03/31/2016","$98.59","$95.14","0.96","KELLER WILLIAMS REALTY","Gate Arty","265500397","Matt Mesimer","265500286","265578235","L","Lakeland"
"1","L4706749","SLD","1581 MARINER RD","LAKELAND","33803","WOODLAKE AREA 10","1,320","$129,900","2","2","0","1985","None","Single Family Home","$610","5","5","5","New Conventional","07/02/2015","$98.41","$98.41","1.00","ROSS REAL ESTATE INC","Nancy Ross","261065378","Casey Tray","777582","261534339","L","Lakeland"
"1","L4708826","SLD","2433 MARION DR","LAKELAND","33803","NAOMI PARK","1,582","$45,000","3","1","0","1925","None","Single Family Home","$804","7","7","7","All Cash","09/25/2015","$25.22","$28.45","1.13","KELLER WILLIAMS REALTY","Marcia Peacock","265501569","Marcia Peacock","265500286","265501569","L","Lakeland"
"1","L4710832","SLD","2433 MARION DR","LAKELAND","33803","NAOMI PARK","1,612","$87,500","3","2","0","1925","None","Single Family Home","$804","59","59","17","New FHA","03/03/2016","$55.77","$54.28","0.97","KELLER WILLIAMS REALTY","Chad Karr","265501388","Dory Rodriguez","265500305","265501103","L","Lakeland"
"1","P4706535","SLD","6424 MARION DR","LAKE WALES","33898","LAKE PIERCE HEIGHTS","969","$15,000","2","1","0","1957","None","Single Family Home","$349","236","236","236","All Cash","04/25/2016","$22.70","$15.48","0.68","BY DESIGN REAL ESTATE SERVICES","Cheryl Brewer","255001832","Kevin Yancy","260030684","255001824","P","East Polk"
"1","P4704990","SLD","720 MARION PL","BARTOW","33830","AZALEA PARK","1,160","$42,000","3","2","0","1950","None","Single Family Home","$739","22","22","22","All Cash","06/02/2015","$38.71","$36.21","0.94","KELLER WILLIAMS REALTY OF WH","Don Jerue","255001108","Peter Duke","56195","261206386","P","East Polk"
"1","O5396306","SLD","720 MARION PL","BARTOW","33830","AZALEA PARK","1,160","$102,000","3","2","0","1950","None","Single Family Home","$739","51","51","51","New FHA","01/08/2016","$86.12","$87.93","1.02","SAVVY PROPERTIES LLC","Peter Duke","261206386","Linda Jarvis","305901","265578021","O","Orlando Regional"
"1","L4701222","SLD","903 MARION CIR","FT. MEADE","33841","RIVER HEIGHTS","1,252","$83,000","3","1","0","1961","None","Single Family Home","$416","455","455","461","New FHA","02/05/2016","$67.09","$66.29","0.99","KELLER WILLIAMS REALTY","Gwen Clark","265577940","Elmer Stephens","10284","255000284","L","Lakeland"
"1","P4702390","SLD","151 MARIPOSA","WINTER HAVEN","33884","ORCHID SPRINGS, FLORIDA HIGHLANDS CO","1,141","$75,000","2","2","0","1976","Community","Single Family Home","$622","232","232","234","New FHA","08/24/2015","$70.03","$65.73","0.94","KELLER WILLIAMS REALTY OF WH","Cathy Kluytenaar","261069620","Bethany Rudy","251005741","261066846","P","East Polk"
"1","P4630512","SLD","232 MARIPOSA","WINTER HAVEN","33884","ORCHID SPRINGS,FLORIDA HIGHLAND CO","1,380","$80,000","2","2","0","1977","Community","Single Family Home","$1,317","349","349","386","New FHA","07/06/2015","$61.52","$57.97","0.94","KELLER WILLIAMS REALTY OF WH","Cathy Kluytenaar","261069620","Janina Paez","777582","265501573","P","East Polk"
"1","P4705639","SLD","253 MARIPOSA","WINTER HAVEN","33884","FLA HIGHLANDS CO SUB","1,529","$140,000","2","2","0","1978","Community","Single Family Home","$1,621","3","3","3","All Cash","07/10/2015","$91.56","$91.56","1.00","KELLER WILLIAMS REALTY OF WH","Tony Garcia","272507179","Cathy Kluytenaar","255000256","261069620","P","East Polk"
"1","P4707621","SLD","270 MARIPOSA","WINTER HAVEN","33884","FLORIDA HIGHLAND CO","1,662","$152,000","3","2","0","1977","Community, Private","Single Family Home","$962","7","7","23","New Conventional","12/29/2015","$96.21","$91.46","0.95","LOCKHART & ASSOCIATES INC","Tina Marie Marie LLC","255001704","Tina Marie Marie LLC","10258","255001704","P","East Polk"
"1","P4705154","SLD","271 MARIPOSA","WINTER HAVEN","33884","FLORIDA HIGHLAND CO","1,571","$109,800","3","2","0","1977","Community","Single Family Home","$730","63","63","95","Other","09/22/2015","$69.89","$69.89","1.00","LOCKHART & ASSOCIATES INC","Tina Marie Marie LLC","255001704","Vicki Sawoscinski","10041","255001765","P","East Polk"
