"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5345994","SLD","2409 NANCY ST","ORLANDO","32806","ARDMORE PARK 1ST ADD","1,466","$150,300","4","2","0","1959","None","Single Family Home","$3,145","6","6","6","All Cash","05/27/2015","$102.32","$102.52","1.00","LA ROSA REALTY, LLC","Melanie Crocker","263500243","NANCY GROVES","50455","261083367","O","Orlando Regional"
"1","O5303890","SLD","2515 NANCY ST","ORLANDO","32806","ARDMORE PARK 1ST ADD","1,282","$175,000","3","2","0","1959","None","Single Family Home","$1,971","95","95","95","All Cash","05/15/2015","$116.22","$136.51","1.17","GCI REALTY INC","Gary Cohl","261074250","Bill Hughes","51957J","261205275","O","Orlando Regional"
"1","O5392077","SLD","2009 NANCY ANN TER","OCOEE","34761","OCOEE WOODS","1,008","$89,900","2","1","0","1982","None","Single Family Home","$815","117","13","4","Assume Conventional","09/25/2015","$89.19","$89.19","1.00","KELLER WILLIAMS CLASSIC II","Phillip Freeman","261208465","Mark Hide","50933A","261075011","O","Orlando Regional"
"1","O5362574","SLD","2324 NANSEN AVE","ORLANDO","32817","ROYAL ESTATES","1,025","$100,000","3","1","0","1960","None","Single Family Home","$1,042","6","6","6","New FHA","06/04/2015","$96.59","$97.56","1.01","CAPITAL REALTY GROUP FLORIDA","Ray Brokke","261092464","Maria Gonzalez","55171","272503734","O","Orlando Regional"
"1","O5398359","SLD","2411 NANSEN AVE","ORLANDO","32817","ROYAL ESTS SEC 1","1,084","$81,000","3","1","1","1961","None","Single Family Home","$1,123","31","31","51","All Cash","12/16/2015","$74.72","$74.72","1.00","CONNECT REALTY.COM INC","Richard Harger, Sr","261072974","Eddie Carrasquillo","261011733","261204133","O","Orlando Regional"
"1","O5356109","SLD","4846 NANTUCKET LN","ORLANDO","32808","SIGNAL HILL UNIT 02","1,624","$65,000","3","2","0","1975","Private","Single Family Home","$1,440","46","46","61","All Cash","07/01/2015","$52.28","$40.02","0.77","KELLER WILLIAMS CLASSIC RLTY V","Christopher Myers","261091912","Gardner Lloyd, III","261011983","261212233","O","Orlando Regional"
"1","O5387188","SLD","4846 NANTUCKET LN","ORLANDO","32808","SIGNAL HILL UNIT 02","1,624","$121,000","4","2","0","1975","Private","Single Family Home","$1,440","8","8","8","New Conventional","11/02/2015","$73.89","$74.51","1.01","SAND DOLLAR REALTY GROUP INC","Robert Arnold, Jr","261061021","Collie Hendrickson","54817D","260503335","O","Orlando Regional"
"1","O5360970","SLD","1002 NAPLES DR","ORLANDO","32804","SUNSHINE GDNS 2ND ADD","892","$95,500","2","1","0","1953","None","Single Family Home","$790","114","114","114","All Cash","09/11/2015","$123.21","$107.06","0.87","RE/MAX 200 REALTY","Lee Acker, Jr","261014739","Amanda Douglas","56037","261211070","O","Orlando Regional"
"1","O5418131","SLD","1002 NAPLES DR","ORLANDO","32804","SUNSHINE GARDENS 2ND ADD","1,228","$168,000","3","2","0","1953","None","Single Family Home","$739","36","36","26","All Cash","03/08/2016","$140.07","$136.81","0.98","KELLER WILLIAMS AT THE PARKS","Anthony Dinova, Jr","261213726","Matthew Rollo","261010513","286004069","O","Orlando Regional"
"1","O5361172","SLD","1006 NAPLES DR","ORLANDO","32804","SUNSHINE GARDENS 2ND ADD","1,997","$91,214","3","2","0","1957","None","Single Family Home","$1,434","10","10","20","All Cash","05/26/2015","$47.92","$45.68","0.95","Owners.com","Stephen Sibiga","261201966","Stephen Sibiga","51040","261201966","O","Orlando Regional"
