"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5419097","ACT","1958 BISCAYNE DR","WINTER PARK","32789","KAROLINA ON KILLARNEY","1,344","$254,900","3","2","0","1951","None","Single Family Home","$2,524","99","99","","","","$189.66","","","LA ROSA REALTY, LLC","Adrian Eslava","261212030","","","","O","Orlando Regional"
"1","O5440085","ACT","111 BISMARK CT","OCOEE","34761","ADMIRAL POINTE","2,367","$300,000","4","2","0","1998","Private","Single Family Home","$2,918","10","0","","","","$126.74","","","SOUTHERN HERITAGE REALTY, INC","Marc Holland","261208352","","","","O","Orlando Regional"
"1","O5412797","ACT","6575 BITTERSWEET LN","ORLANDO","32819","ORANGE TREE COUNTRY CLUB UNIT 01","2,145","$465,000","3","2","0","1979","Private","Single Family Home","$4,957","99","99","","","","$216.78","","","COLDWELL BANKER RESIDENTIAL RE","Ronda Shively","261068395","","","","O","Orlando Regional"
"1","O5420601","ACT","7218 BLACK BULL LN","ORLANDO","32835","HAWKSNEST","2,494","$275,000","3","2","1","1995","Private","Single Family Home","$5,385","92","92","","","","$110.26","","","JULIE VEGA DOMINGUEZ PA","Julie Vega-Dominguez","279524701","","","","O","Orlando Regional"
"1","O5395188","ACT","7234 BLACK BULL LN","ORLANDO","32835","HAWKSNEST","2,246","$299,000","3","2","0","1990","None","Single Family Home","$4,632","227","227","","","","$133.13","","","RE/MAX Town Centre","Vincent Paige, JR","261200991","","","","O","Orlando Regional"
"1","O5356298","ACT","4913 BLACKBURN CT","ORLANDO","32826","UNIVERSITY ESTATES","2,343","$285,000","4","3","0","1996","Private","Single Family Home","$4,616","413","413","","","","$121.64","","","CHARLES RUTENBERG REALTY","Bina Desai","261099138","","","","O","Orlando Regional"
"1","O5422412","ACT","2290 BLACKJACK OAK ST","OCOEE","34761","BROOKHAVEN OAKS","2,528","$329,900","4","3","0","1997","Community","Single Family Home","$3,906","81","81","","","","$130.50","","","THE REAL ESTATE COLLECTION LLC","Kyle Gunter","261207525","","","","O","Orlando Regional"
"1","O5317723","ACT","9563 BLANDFORD RD","ORLANDO","32827","LAKE NONA","5,959","$1,550,000","5","4","1","2000","Community, Private","Single Family Home","$15,562","576","576","","","","$260.11","","","LAKE NONA REALTY LLC","Amanda Hoppenjans","261203545","","","","O","Orlando Regional"
"1","O5436196","ACT","8428 BLUE PINE CT","ORLANDO","32819","SAND LAKE HILLS SEC 08","1,942","$349,000","4","2","0","1984","Private","Single Family Home","$3,882","18","18","","","","$179.71","","","GLOBAL REAL ESTATE SERVICES","David Robertson","261201102","","","","O","Orlando Regional"
"1","O5437394","ACT","221 BLUE STONE CIR","WINTER GARDEN","34787","WESTFIELD LAKES","2,587","$375,000","3","3","0","2000","Private","Single Family Home","$4,883","5","5","","","","$144.96","","","BHHS RESULTS REALTY","Joseph Doher","272500275","","","","O","Orlando Regional"
"1","O5438568","ACT","13636 BLUEWATER CIR","ORLANDO","32828","WATERFORD LAKES TR N31A","2,394","$329,900","4","3","0","1995","Community, Private","Single Family Home","$2,967","8","8","","","","$137.80","","","KELLER WILLIAMS ADVANTAGE 2","Barbara Burns","261088575","","","","O","Orlando Regional"
"1","O5422607","ACT","13733 BLUEWATER CIR","ORLANDO","32828","WATERFORD LAKES TR N31B","2,462","$319,900","4","2","1","1996","Community, None","Single Family Home","$4,331","135","78","","","","$129.94","","","Keller Williams Heritage Realt","Jennifer Jefcoat","261208380","","","","O","Orlando Regional"
"1","O5380185","ACT","10713 BOCA POINTE DR","ORLANDO","32836","WATERS EDGE BOCA POINTE AT TURTLE CREEK","3,542","$655,000","4","3","0","1997","Private","Single Family Home","$9,276","278","278","","","","$184.92","","","REGAL R.E. PROFESSIONALS LLC","Robin Bocuse","261082624","","","","O","Orlando Regional"
"1","O5425563","ACT","10743 BOCA POINTE DR","ORLANDO","32836","WATERS EDGE BOCA POINTE AT TURTLE CREEK","4,434","$729,900","5","4","1","1997","Private","Single Family Home","$9,362","65","65","","","","$164.61","","","SUZI KARR REALTY","Denise Richardson","261207455","","","","O","Orlando Regional"
"1","O5405528","ACT","4307 BOCA WOODS DR","ORLANDO","32826","SANCTUARY","1,715","$214,900","4","2","0","1996","Community","Single Family Home","$1,646","177","177","","","","$125.31","","","GODFATHER REALTY INC","Vince Balletto","261092635","","","","O","Orlando Regional"
"1","O5435400","ACT","12266 BOHANNON BLVD","ORLANDO","32824","SOUTHCHASE PH 01B VILLAGE 08","2,248","$265,000","4","2","1","1993","Community","Single Family Home","$1,869","23","23","","","","$117.88","","","SHAWN ROTH","Jennifer Linauer","261090813","","","","O","Orlando Regional"
"1","S4830342","ACT","12559 BOHANNON BLVD","ORLANDO","32824","SOUTHCHASE PH 01B VILLAGE 08","2,037","$239,900","3","2","1","1993","Community","Single Family Home","$1,788","16","16","","","","$117.77","","","COLDWELL BANKER SOLOMON","Blanca C. Gonzalez","272500151","","","","S","Osceola"
"1","O5421059","ACT","9750 BOHART CT","ORLANDO","32836","BAY VISTA ESTATES","2,384","$399,990","4","4","0","1992","Private","Single Family Home","$5,081","88","88","","","","$167.78","","","COLONY REALTY GROUP, INC.","John Lightsey, Jr","261072687","","","","O","Orlando Regional"
"1","S4830170","ACT","9758 BOHART CT","ORLANDO","32836","BAY VISTA ESTATES","2,714","$395,000","4","3","0","1991","Private","Single Family Home","$6,148","164","16","","","","$145.54","","","KELLER WILLIAMS AT THE LAKES","Fernanda Trein, LLC","261206155","","","","S","Osceola"
"1","O5370331","ACT","922 BONITA DR","WINTER PARK","32789","COMSTOCK PARK","4,879","$1,670,000","5","5","0","2000","Private","Single Family Home","$18,821","348","348","","","","$342.28","","","COLDWELL BANKER RESIDENTIAL RE","Mick Night","261010033","","","","O","Orlando Regional"
"1","O5415100","ACT","5312 BONNIE BRAE CIR","ORLANDO","32808","BONNIE BRAE","1,066","$100,000","3","2","0","1970","None","Single Family Home","$1,104","117","117","","","","$93.81","","","PREMIUM REAL ESTATE SERVICES","Neree Augustin","261089198","","","","O","Orlando Regional"
"1","O5428577","ACT","14878 BONNYBRIDGE DR","ORLANDO","32826","UNIVERSITY ESTATES","2,681","$314,000","5","3","0","1995","Community","Single Family Home","$2,973","51","51","","","","$117.12","","","KELLER WILLIAMS AT THE PARKS","Deepak Gupta","261097134","","","","O","Orlando Regional"
