"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","P4709917","ACT","923 HILLGROVE LN","AUBURNDALE","33823","HILLGROVE SUB","1,732","$149,900","3","2","0","1989","None","Single Family Home","$1,609","24","24","","","","$86.55","","","BARON MYERS REALTY LLC","Karen Myers","261067033","","","","P","East Polk"
"1","P4710242","ACT","505 HILLSIDE DR","AUBURNDALE","33823","ACREAGE","2,091","$199,900","3","2","0","1987","Private","Single Family Home","$3,113","12","12","","","","$95.60","","","ALLSTATE REALTY SERVICES","Dwight Head","261084470","","","","P","East Polk"
"1","P4628569","ACT","514 HILLSIDE DR","AUBURNDALE","33823","NOT IN A SUBDIVISION","5,508","$650,888","5","5","1","1985","None","Single Family Home","$3,776","877","877","","","","$118.17","","","BARON MYERS REALTY LLC","Jack Myers","255000209","","","","P","East Polk"
"1","S4830179","ACT","830 HILLSIDE AVE","LAKE WALES","33853","NORTH SHORE HILLS ADD","1,104","$58,000","2","2","0","1959","None","Single Family Home","$943","16","16","","","","$52.54","","","GODWIN REALTY GROUP","Carly McDonah","272504933","","","","S","Osceola"
"1","P4707539","ACT","3580 E HINSON AVE","HAINES CITY","33844","ACREAGE & UNREC","3,119","$399,000","4","3","1","1996","None","Single Family Home","$3,697","210","210","","","","$127.93","","","STACEY TOWNS REALTY LLC","Stacey Towns","255001015","","","","P","East Polk"
"1","S4815712","ACT","4001 E HINSON AVE","HAINES CITY","33844","ACREAGE & UNREC","3,280","$1,500,000","4","2","1","1958","None","Single Family Home","$2,690","349","349","","","","$457.32","","","BHHS RESULTS REALTY","Alex Macherione","272503045","","","","S","Osceola"
"1","O5421117","ACT","339 HOLBORN LOOP","DAVENPORT","33897","VILLAS OF WESTRIDGE PH 5A","1,596","$189,900","4","3","0","1999","Community, Private","Single Family Home","$2,208","88","88","","","","$118.98","","","REALLY FLORIDA REALTY LLC","Jonelle Read","261200045","","","","O","Orlando Regional"
"1","L4711932","ACT","4541 HOLDER CT","LAKELAND","33813","VALENCIA VILLAGE","1,131","$99,900","3","1","1","1978","None","Single Family Home","$835","82","82","","","","$88.33","","","S & D REAL ESTATE SERVICE LLC","Richard Eijo","265501414","","","","L","Lakeland"
"1","K4700941","ACT","216 HOLLAND ST","LAKE WALES","33859","0000054889","1,226","$89,900","3","2","0","1999","None","Single Family Home","$1,253","18","18","","","","$73.33","","","WESTLAKE REAL ESTATE CO., INC.","Regina Motis","261065636","","","","K","Lake Wales"
"1","S4808218","ACT","112 HOLLINGSHEAD LOOP","DAVENPORT","33896","BRIDGEWATER CROSSING PH 01","1,828","$210,000","4","3","0","1998","Private","Single Family Home","$1,686","463","463","","","","$114.88","","","KELLER WILLIAMS AT THE LAKES","Hazel Heyer","272505351","","","","S","Osceola"
"1","G4824301","ACT","468 HOLLINGSHEAD LOOP","DAVENPORT","33896","BRIDGEWATER CROSSING PH 01","1,876","$211,490","4","3","0","1999","Private","Single Family Home","$2,700","72","72","","","","$112.73","","","KELLER WILLIAMS CLASSIC III RE","Kelly French","260503711","","","","G","Lake and Sumter"
"1","T2808425","ACT","1620 HOLLY RD","LAKELAND","33801","SHORE ACRES","1,860","$119,900","4","1","1","1928","None","Single Family Home","$419","58","58","","","","$64.46","","","DE LA GARZA REALTY, INC,.","Albert Hondares","261551047","","","","T","Tampa"
"1","L4713332","ACT","5851 HOLLYHOCK DR","LAKELAND","33813","HIGHLAND OAKS SUB","3,619","$475,000","5","3","2","1991","Private","Single Family Home","$4,220","10","10","","","","$131.25","","","OLIVE BRANCH REALTY","Amy Harris","265578346","","","","L","Lakeland"
"1","T2801806","ACT","1227 HONEYTREE LN E","LAKELAND","33801","HONEYTREE","1,334","$159,900","3","2","0","1980","None","Single Family Home","$786","88","88","","","","$119.87","","","KELLER WILLIAMS REALTY","Christopher Coats","261546004","","","","T","Lakeland"
"1","L4711456","ACT","2818 HONEYWELL PL","LAKELAND","33810","HUNTINGTON HILLS PH 1","1,996","$219,500","2","2","0","1996","Community","Single Family Home","$2,300","103","103","","","","$109.97","","","BHHS FLORIDA PROPERTIES GRP","Chuck Hoffman","265501138","","","","L","Lakeland"
"1","L4712621","ACT","253 HOWARD AVE","LAKELAND","33815","LONE PALM GOLF COURSE","2,484","$349,900","3","3","0","1987","Private","Single Family Home","$4,549","46","46","","","","$140.86","","","RE/MAX EXPERTS","Linda Zedonek","265500367","","","","L","Lakeland"
"1","L4713376","ACT","619 HOWARD AVE","LAKELAND","33815","LONE PALM GOLF COURSE","2,257","$269,126","3","2","0","1966","None","Single Family Home","$3,221","8","8","","","","$119.24","","","S & D REAL ESTATE SERVICE LLC","John-Michael Elliott","265501049","","","","L","Lakeland"
