"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5373261","SLD","537 RACHAEL CT","OVIEDO","32765","CEDAR BEND","1,506","$167,499","3","2","0","1993","Private","Single Family Home","$2,048","25","25","25","All Cash","07/21/2015","$124.58","$111.22","0.89","Owners.com","Steve Sibiga","261201966","Cheryl Geluso","53164","261088215","O","Orlando Regional"
"1","O5414418","SLD","537 RACHAEL CT","OVIEDO","32765","CEDAR BEND","1,506","$236,500","3","2","0","1993","Private","Single Family Home","$3,158","83","18","18","New FHA","03/10/2016","$156.04","$157.04","1.01","KELLER WILLIAMS ADVANTAGE RLTY","Beatriz Eberhardt","261214727","Missy Pacheco","55979","261207625","O","Orlando Regional"
"1","O5356682","SLD","561 RACHAEL CT","OVIEDO","32765","CEDAR BEND","2,063","$258,000","4","2","0","1997","Private","Single Family Home","$2,534","59","59","13","New Conventional","05/29/2015","$127.97","$125.06","0.98","COLDWELL BANKER RESIDENTIAL RE","George Stringer","261009325","Tom Bercini","50096","261011404","O","Orlando Regional"
"1","O5400221","SLD","314 RADEBAUGH DR","LONGWOOD","32779","WEKIVA HILLS SEC 03","1,670","$141,500","3","2","0","1980","None","Single Family Home","$2,604","63","63","63","All Cash","01/22/2016","$89.76","$84.73","0.94","RE/MAX CENTRAL REALTY","Janet Mansfield","261050199","Janet Mansfield","50935","261050199","O","Orlando Regional"
"1","O5371272","SLD","317 RADEBAUGH DR","LONGWOOD","32779","WEKIVA HILLS SEC 03","1,910","$217,000","3","2","0","1978","Private","Single Family Home","$2,961","5","5","5","New FHA","06/30/2015","$109.95","$113.61","1.03","RE/MAX 200 REALTY","Diane Gerry","261007001","Jerry Stoffer","52403","261005112","O","Orlando Regional"
"1","A4122207","SLD","391 RADEBAUGH CT","LONGWOOD","32779","WEKIVA HILLS SEC 03","2,026","$232,000","3","2","0","1978","None","Single Family Home","$1,844","67","67","67","New Conventional","08/24/2015","$118.41","$114.51","0.97","CONDODOMAIN","Barry Segal","278524590","Robert Sassos","261011936","261202023","A","Sarasota - Manatee"
"1","O5402016","SLD","4430 RADIO AVE","SANFORD","32773","LORDS 1ST ADD TO CITRUS","1,214","$60,000","2","2","0","1962","None","Single Family Home","$949","26","26","41","All Cash","01/11/2016","$49.34","$49.42","1.00","REAL ESTATE PROFESSIONALS SE","David Kellam","261010527","Fernando Toloza","59714","261074438","O","Orlando Regional"
"1","O5360139","SLD","1012 RAGSDALE RD","OVIEDO","32765","ALAFAYA WOODS PH 02","1,753","$235,000","3","2","0","1986","None","Single Family Home","$1,448","25","25","25","All Cash","06/08/2015","$139.76","$134.06","0.96","COLDWELL BANKER RESIDENTIAL RE","Donnamarie Ebanks","261099122","Kimberly Rockburn","55979","261208200","O","Orlando Regional"
"1","O5383304","SLD","5726 RAIN FOREST CT","OVIEDO","32765","ESTATES AT ALOMA WOODS PH 1","2,294","$358,000","4","3","0","1998","Private","Single Family Home","$3,329","56","56","56","New Conventional","10/29/2015","$159.07","$156.06","0.98","WATSON REALTY CORP","Fran Zvaigzne","261208575","Carmen Aridas","52626","261013575","O","Orlando Regional"
"1","O5424217","SLD","492 RAINBOW DR","CASSELBERRY","32707","LAKE KATHRYN WOODS","1,067","$105,000","3","1","1","1971","None","Single Family Home","$426","4","4","7","All Cash","04/15/2016","$81.54","$98.41","1.21","KELLER WILLIAMS ADVANTAGE 2","Ray Lopez","261082173","Angel Ayala","272503132","261213699","O","Orlando Regional"
"1","O5391464","SLD","355 RALEIGH PL","OVIEDO","32765","REMINGTON PARK","2,163","$290,000","3","2","0","1989","Private","Single Family Home","$2,409","22","22","22","New Conventional","10/27/2015","$138.70","$134.07","0.97","KELLER WILLIAMS ADVANTAGE RLTY","Darlene Brown","261016741","Debra Parrish","51957D","261012405","O","Orlando Regional"
"1","O5396802","SLD","102 RAMBLEWOOD DR","SANFORD","32773","RAMBLEWOOD","1,492","$125,000","3","2","0","1980","None","Single Family Home","$1,697","62","62","62","New VA","01/29/2016","$90.42","$83.78","0.93","REALTY EXECUTIVES SEMINOLE","Robert Sabrkhani","261004744","Jennifer King","261011090","261086750","O","Orlando Regional"
"1","O5364111","SLD","8379 RAMBLING RIVER DR","SANFORD","32771","RIVER CREST PH 1","2,604","$400,000","4","3","1","1990","Private","Single Family Home","$3,565","4","4","4","New VA","06/23/2015","$153.42","$153.61","1.00","WATSON REALTY CORP","Rosa Dreifus","261211493","Michael Banner","261010758","261200142","O","Orlando Regional"
