"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5410312","SLD","651 HOLBROOK CIR","LAKE MARY","32746","CROSSINGS UNIT 3 LAKEWOOD AT THE","1,556","$212,900","3","2","0","1988","None","Single Family Home","$1,863","21","21","21","New Conventional","02/23/2016","$136.83","$136.83","1.00","GIBRALTAR REAL ESTATE SER LLC","Jim Smaldone","261015024","Whitney Bayliss","50096","261208953","O","Orlando Regional"
"1","O5349587","SLD","676 HOLBROOK CIR","LAKE MARY","32746","CROSSINGS UNIT 3 LAKEWOOD AT THE","1,806","$193,450","4","2","0","1988","None","Single Family Home","$2,545","104","104","104","All Cash","07/13/2015","$115.73","$107.12","0.93","WATSON REALTY CORP","Kip Ripper","261209218","Christopher Paul","50164","261206133","O","Orlando Regional"
"1","O5427945","SLD","686 HOLBROOK CIR","LAKE MARY","32746","CROSSINGS UNIT 3 LAKEWOOD AT THE","1,655","$190,000","3","2","0","1988","None","Single Family Home","$1,754","4","4","4","New Conventional","04/22/2016","$112.99","$114.80","1.02","WEICHERT REALTORS HALLMARK PR","Chadwick Tejada","261202148","Douglas Koehler","50306","261087267","O","Orlando Regional"
"1","O5415000","SLD","730 HOLBROOK CIR","LAKE MARY","32746","CROSSINGS UNIT 5 LAKEWOOD AT THE","2,172","$263,000","3","2","1","1988","Private","Single Family Home","$3,364","35","35","35","New Conventional","03/18/2016","$126.61","$121.09","0.96","SAND DOLLAR REALTY GROUP INC","Robert Arnold, Jr","261061021","David Gallup","52403","261009279","O","Orlando Regional"
"1","O5373032","SLD","738 HOLBROOK CIR","LAKE MARY","32746","CROSSINGS UNIT 5 LAKEWOOD AT THE","1,654","$200,000","3","2","0","1989","None","Single Family Home","$1,505","275","5","5","All Cash","06/30/2015","$129.93","$120.92","0.93","SOL INTERNATIONAL REALTY","Sara Sampathkumar","261203000","Sara Sampathkumar","261011776","261203000","O","Orlando Regional"
"1","O5364393","SLD","155 HOLDERNESS DR","LONGWOOD","32779","WEKIVA HUNT CLUB 2 FOX HUNT SEC 2","1,792","$206,000","4","2","0","1978","None","Single Family Home","$1,326","80","80","80","All Cash","08/07/2015","$114.96","$114.96","1.00","EXIT REAL ESTATE RESULTS","Happy Oropeza","261095470","Julie Vandendriessche","261011493","261205742","O","Orlando Regional"
"1","O5346010","SLD","104 HOLIDAY LN","WINTER SPRINGS","32708","NORTH ORLANDO RANCHES SEC 09","1,330","$131,500","3","2","0","1980","None","Single Family Home","$1,980","54","54","54","New FHA","05/29/2015","$123.31","$98.87","0.80","DAPORE REALTY INC","Kristin Green","261202354","Becky Hunter","261011075","261209319","O","Orlando Regional"
"1","O5355845","SLD","111 HOLIDAY LN","WINTER SPRINGS","32708","NORTH ORLANDO RANCHES SEC 09","1,527","$159,900","3","2","0","1978","Private","Single Family Home","$1,428","14","14","14","New Conventional","05/28/2015","$104.72","$104.72","1.00","COLDWELL BANKER RESIDENTIAL RE","Gary Hiatt","261083055","Andre Hernandez","272504002","260565449","O","Orlando Regional"
"1","O5400845","SLD","207 HOLIDAY LN","WINTER SPRINGS","32708","NORTH ORLANDO RANCHES SEC 09","2,184","$175,350","5","2","0","1978","None","Single Family Home","$2,442","108","108","108","All Cash","02/26/2016","$84.71","$80.29","0.95","ALLISON JAMES ESTATES & HOMES","Nikki Cooper","261209270","Jorge Botero","54580","261212706","O","Osceola"
"1","O5365426","SLD","216 HOLIDAY LN","WINTER SPRINGS","32708","NORTH ORLANDO RANCHES SEC 09","1,628","$135,104","4","2","0","1979","None","Single Family Home","$2,377","19","19","19","All Cash","05/28/2015","$78.78","$82.99","1.05","Owners.com","Stephen Sibiga","261201966","Lucia Munoz","272503278","261095532","O","Orlando Regional"
