"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5377436","SLD","31 W 1ST ST","APOPKA","32703","DAVIS & MITCHELLS ADD","2,450","$215,000","4","2","1","1930","None","Single Family Home","$637","79","79","74","New Conventional","10/20/2015","$93.88","$87.76","0.93","ARROWSMITH REALTY INC","Natalie Arrowsmith","560500630","Noel Ramos","53164","261211047","O","Orlando Regional"
"1","O5405663","SLD","415 W 1ST AVE","WINDEMERE","34786","WINDERMERE TOWN","2,218","$481,000","4","2","0","1971","Private","Single Family Home","$3,840","0","0","0","New Conventional","12/18/2015","$219.12","$216.86","0.99","RE/MAX PROPERTIES SW INC.","Matthew McKee","261062836","Matthew McKee","52626","261062836","O","Orlando Regional"
"1","O5363836","SLD","711 29TH ST","ORLANDO","32805","ANGEBILT ADD","1,733","$191,000","3","2","0","1945","None","Single Family Home","$1,645","254","57","57","New FHA","07/24/2015","$111.31","$110.21","0.99","LOVELAND PROPERTIES","Cleve Loveland","261015644","Corin Denmon","51957EE","261073879","O","Orlando Regional"
"1","O5413557","SLD","208 E 2ND AVE","WINDERMERE","34786","WINDERMERE TOWN","2,200","$529,000","3","2","1","1976","None","Single Family Home","$7,250","30","30","30","All Cash","04/11/2016","$251.82","$240.45","0.95","OLDE TOWN BROKERS INC","Michael Scala","261212619","Valeria Paixao","261012305","261214035","O","Orlando Regional"
"1","O5384942","SLD","201 W 5TH AVE","WINDERMERE","34786","WINDERMERE TOWN","2,116","$350,000","3","2","0","1984","None","Single Family Home","$3,972","55","55","55","New Conventional","11/23/2015","$177.22","$165.41","0.93","STOCKWORTH REALTY GROUP","Rob Rahter","261090118","George DuBois","50198","261211554","O","Orlando Regional"
"1","O5346528","SLD","325 E 6TH AVE","WINDERMERE","34786","WINDERMERE REP","1,731","$330,000","3","2","0","1965","Private","Single Family Home","$3,238","74","74","74","All Cash","05/27/2015","$231.02","$190.64","0.83","WESTIN REALTY GROUP","Michael Mullvain","288561027","Michael Mullvain","261010868","288561027","O","Orlando Regional"
"1","O5347099","SLD","605 E 6TH AVE","WINDERMERE","34786","WINDERMERE TOWN REP","2,013","$400,000","3","2","0","1954","None","Single Family Home","$3,790","54","54","54","New Conventional","06/01/2015","$218.08","$198.71","0.91","BHHS FLORIDA REALTY","Judy Black","261001354","JUDY BLACK","52365","261001354","O","Orlando Regional"
"1","O5356396","SLD","40 7TH ST","OCOEE","34761","OCOEE TOWN","3,154","$290,000","4","3","0","1971","Private","Single Family Home","$2,984","17","17","17","New Conventional","05/20/2015","$95.12","$91.95","0.97","LA ROSA REALTY, LLC","Cathy Starkweather","261205276","Sheri Sampson","51957J","261083420","O","Orlando Regional"
"1","O5345856","SLD","2329 ABALONE BLVD","ORLANDO","32833","ROCKET CITY UNIT 03","1,917","$188,000","3","2","0","1996","None","Single Family Home","$2,560","73","73","73","New FHA","06/12/2015","$101.67","$98.07","0.96","HOUSESTAR REALTY GROUP INC","Javier Rodriguez","261070049","Belinda Vargas Cruz","56563","261204994","O","Orlando Regional"
"1","O5370760","SLD","2354 ABALONE BLVD","ORLANDO","32833","ROCKET CITY UNIT 03","1,630","$210,000","3","2","0","1986","Private","Single Family Home","$1,460","18","18","18","New Conventional","07/30/2015","$134.97","$128.83","0.95","CHAMBERLAIN REALTY LLC","Dan Teston","261201653","Timothy Franke","55979","261203998","O","Orlando Regional"
