"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5357874","SLD","240 NOB HILL CIR","LONGWOOD","32779","MEREDITH MANOR NOB HILL SEC","2,046","$255,000","3","2","0","1961","None","Single Family Home","$4,175","4","4","4","New Conventional","07/07/2015","$122.19","$124.63","1.02","Keller Williams Heritage Realt","LaShawn Norden","261072220","MaryDell Penney","261012309","261069851","O","Orlando Regional"
"1","O5368192","SLD","241 NOB HILL CIR","LONGWOOD","32779","MEREDITH MANOR NOB HILL SEC","1,426","$184,900","4","2","1","1962","None","Single Family Home","$1,141","40","40","40","New Conventional","08/10/2015","$129.66","$129.66","1.00","COLDWELL BANKER RESIDENTIAL RE","Farid Rad","261009031","Melodi Brown","255000256","255001650","O","Orlando Regional"
"1","O5415498","SLD","243 NOB HILL CIR","LONGWOOD","32779","MEREDITH MANOR NOB HILL SEC","1,981","$225,000","4","3","0","1972","None","Single Family Home","$1,874","5","5","6","New FHA","02/01/2016","$111.06","$113.58","1.02","Murphy Real Estate","Sam Berlant","261211843","Sam Berlant","261011151","261211843","O","Orlando Regional"
"1","O5366977","SLD","1501 NOBLE ST","LONGWOOD","32750","SANLANDO SPRINGS","1,797","$215,000","4","2","0","1971","Private","Single Family Home","$1,649","4","4","4","New VA","07/02/2015","$119.64","$119.64","1.00","Keller Williams Heritage Realt","Caroline Moffitt","261010631","Lisa Scott","261011058","651503949","O","Orlando Regional"
"1","O5377107","SLD","1001 NODDING PINES WAY","CASSELBERRY","32707","SUTTERS MILL UNIT 2","1,460","$102,165","3","2","0","1981","None","Single Family Home","$1,220","7","7","7","All Cash","08/22/2015","$88.15","$69.98","0.79","Allison James Estates & Homes","Tricia Diaz","272501155","NON MFR REALTOR","55055","123456789","O","Osceola"
"1","O5395204","SLD","1001 NODDING PINES WAY","CASSELBERRY","32707","SUTTERS MILL UNIT 2","1,460","$200,000","3","2","0","1981","None","Single Family Home","$1,220","31","31","1","New Conventional","10/30/2015","$143.84","$136.99","0.95","LEERDAM PROPERTIES INC.","Brad Bolton","894583381","Jordan Muench","50554","261208233","O","Orlando Regional"
"1","O5393983","SLD","1013 NODDING PINES WAY","CASSELBERRY","32707","SUTTERS MILL UNIT 2","2,003","$268,000","4","2","0","1982","Private","Single Family Home","$1,873","4","4","4","New Conventional","11/13/2015","$134.75","$133.80","0.99","VERANDA PARK REALTY LLC","Rodney Arzouni","261087055","David Miller","261011090","261093242","O","Orlando Regional"
"1","O5361665","SLD","1053 NODDING PINES WAY","CASSELBERRY","32707","SUTTERS MILL UNIT 2","1,963","$240,700","4","2","0","1982","Private","Single Family Home","$1,664","7","7","7","New FHA","06/19/2015","$121.75","$122.62","1.01","WATSON REALTY CORP","Jim Ruddy","261083629","Celle Basch","55912","261001220","O","Orlando Regional"
"1","O5393728","SLD","4730 NOLAN RD","SANFORD","32773","LORDS 1ST ADD TO CITRUS","912","$62,500","3","1","0","1978","None","Single Family Home","$952","77","77","77","New Conventional","12/18/2015","$67.43","$68.53","1.02","C21/OVIEDO REALTY","Kim Campbell","261204298","Jeffrey Brown","50164","261017800","O","Orlando Regional"
"1","O5402280","SLD","803 NORMAN CT","LONGWOOD","32750","CHELSEA PLACE","1,788","$213,000","3","2","0","1995","None","Single Family Home","$1,950","55","55","7","New Conventional","12/29/2015","$124.16","$119.13","0.96","WATSON REALTY CORP","Russie Weidl","261065234","Amy Ruff","50982","261063499","O","Orlando Regional"
"1","O5357445","SLD","858 NORMAN CT","LONGWOOD","32750","CHELSEA PLACE","1,972","$217,500","4","2","0","1998","None","Single Family Home","$2,018","6","6","54","New Conventional","06/30/2015","$114.10","$110.29","0.97","RE/MAX CENTRAL REALTY","Linda Kaufman","261087414","James Marks","55237","283003375","O","Orlando Regional"
"1","O5408624","SLD","145 NORRIS PL","CASSELBERRY","32707","LOST LAKE ESTATES","2,249","$248,000","4","2","1","2000","None","Single Family Home","$2,854","23","23","23","New FHA","02/05/2016","$111.12","$110.27","0.99","SLOANE REALTY, LLC","Matt White","261091198","Bill Mauer","261010790","261209572","O","Orlando Regional"
"1","O5428814","SLD","1350 NORTH ST","LONGWOOD","32750","SANLANDO SPGS","1,215","$168,000","3","2","0","1973","None","Single Family Home","$1,756","6","6","6","New FHA","04/29/2016","$131.69","$138.27","1.05","KELLER WILLIAMS ADVANTAGE 2","Lyndin Wasson","474520166","Amanda Douglas","272506613","261211070","O","Orlando Regional"
"1","O5402612","SLD","1620 NORTH ST","LONGWOOD","32750","SANLANDO SPGS","1,704","$198,000","5","3","0","1972","None","Single Family Home","$2,150","123","123","70","New Conventional","03/07/2016","$117.37","$116.20","0.99","Keller Williams Heritage Realt","Jeff Singletary","261067526","Jacob Johnson","261011555","261088813","O","Orlando Regional"
"1","O5365207","SLD","1720 NORTH ST","LONGWOOD","32750","SANLANDO COUNTRY CLUB ESTATES","2,200","$345,000","4","2","2","1964","Private","Single Family Home","$2,214","8","8","8","New VA","06/12/2015","$159.09","$156.82","0.99","COLDWELL BANKER RESIDENTIAL RE","Lois Vonderbecke","261205051","Craig Connor","261011090","261207913","O","Orlando Regional"
"1","O5352808","SLD","1850 NORTH ST","LONGWOOD","32750","SANLANDO SPGS","1,817","$191,000","3","2","1","1979","None","Single Family Home","$2,488","5","5","5","New FHA","06/02/2015","$107.26","$105.12","0.98","MOREHOUSE REALTY INC","Alvin Moore","261086422","Steve Javier","50786","261071945","O","Orlando Regional"
"1","O5373519","SLD","5714 NORTH RD","SANFORD","32771","ASTER GRANT AREA","3,325","$179,900","3","2","0","1961","None","Single Family Home","$2,460","10","10","10","New FHA","08/04/2015","$54.11","$54.11","1.00","LOGAN LAND & HOMES, INC.","Susan Logan","261003561","Ellie Milanes","56660","261060629","O","Orlando Regional"
"1","O5402466","SLD","980 NORTH ST","LONGWOOD","32750","SANLANDO SPGS","1,365","$185,000","3","2","0","1973","None","Single Family Home","$1,202","150","150","150","New FHA","05/06/2016","$135.53","$135.53","1.00","EXIT REAL ESTATE RESULTS","Felixander Rua","261210750","Juan Pastrana","55306","261212615","O","Orlando Regional"
"1","O5359418","SLD","1600 NORTH WIND CT","WINTER SPRINGS","32708","TUSCAWILLA UNIT 12","2,266","$314,000","4","3","0","1984","None","Single Family Home","$4,875","8","8","8","New Conventional","05/21/2015","$140.29","$138.57","0.99","KELLER WILLIAMS AT THE PARKS","Debbie Smith-Seiber","261067918","Stefanie Wollam","50935A","261009335","O","Orlando Regional"
"1","O5369591","SLD","1245 NORTHERN WAY","WINTER SPRINGS","32708","TUSCAWILLA UNIT 13","2,538","$266,000","3","2","0","1988","None","Single Family Home","$4,853","161","161","161","All Cash","11/19/2015","$133.57","$104.81","0.78","COLDWELL BANKER RESIDENTIAL RE","Ellen Moore","261003988","Stephen Rice","50096","261085604","O","Orlando Regional"
"1","O5340648","SLD","1438 NORTHERN WAY","WINTER SPRINGS","32708","TUSCAWILLA UNIT 09-B","2,039","$265,000","4","2","0","1982","None","Single Family Home","$2,572","68","68","68","New Conventional","05/29/2015","$134.87","$129.97","0.96","COLDWELL BANKER RESIDENTIAL RE","Sandra Esfahani","261082456","Tanya McDonnell","54321","261094916","O","Orlando Regional"
