"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5363643","SLD","1613 LARKIN AVE","ORLANDO","32812","VALENCIA PARK","952","$115,000","2","1","0","1946","None","Single Family Home","$2,130","172","172","172","All Cash","11/30/2015","$131.30","$120.80","0.92","COLDWELL BANKER RESIDENTIAL RE","Sandra Webb","261205676","Norm Grant, Jr","51957EE","261211645","O","Orlando Regional"
"1","O5379872","SLD","1913 LARKIN AVE","ORLANDO","32812","VALENCIA PARK","1,200","$150,000","3","2","0","1959","None","Single Family Home","$803","8","8","8","New FHA","08/31/2015","$125.00","$125.00","1.00","HOMEVEST REALTY","Scott Young","261005768","Cesar Sanchez","56563","261207970","O","Orlando Regional"
"1","O5423003","SLD","2180 LAS PALMAS CIR","ORLANDO","32822","RIO PINAR LAKES UNIT 01","1,148","$137,000","3","2","0","1981","None","Single Family Home","$1,929","6","6","6","New Conventional","04/20/2016","$113.15","$119.34","1.05","EXIT REALTY CENTRAL","Jennifer Encarnacion","261209950","Joseph Danni","52403","261090657","O","Orlando Regional"
"1","O5352774","SLD","3800 LASO WAY","ORLANDO","32822","EAST ORLANDO SEC 07","1,296","$62,500","4","2","1","1978","None","Single Family Home","$1,575","6","6","6","New FHA","07/07/2015","$45.52","$48.23","1.06","VENCORP REAL ESTATE","Nayda Guedez","261212671","Nayda Guedez","261011488","261212671","O","Orlando Regional"
"1","O5369286","SLD","3831 LASO WAY","ORLANDO","32822","EAST ORLANDO SEC 7","725","$95,000","2","1","0","1978","None","Single Family Home","$967","91","91","13","New FHA","08/25/2015","$131.03","$131.03","1.00","ALTURA INVESTMENT REALTY","Steve Perez","261071724","Hernan Zuleta","261011853","261090587","O","Orlando Regional"
"1","O5325080","SLD","2558 LATE CT","ORLANDO","32839","WINTER RUN UNIT 04A","1,509","$120,000","3","2","0","1985","None","Single Family Home","$1,631","54","54","262","New FHA","09/28/2015","$72.17","$79.52","1.10","SUN CREST FLORIDA PROPERTIES","Mary Cubelo-Hinton","261014693","Sego Gaspard","51584A","261209280","O","Orlando Regional"
"1","O5407136","SLD","7513 LAUREL SPRINGS DR","WINTER PARK","32792","LAUREL SPRINGS","1,524","$170,000","4","3","0","1972","None","Single Family Home","$942","3","3","3","All Cash","12/18/2015","$108.20","$111.55","1.03","WATSON REALTY CORP","Elisa Edwards","261096131","George Covington","51584C","261208027","O","Orlando Regional"
"1","O5427707","SLD","6106 LAURELWOOD CT","ORLANDO","32808","ROBINSWOOD HEIGHTS 7TH ADD","1,717","$112,000","4","2","0","1967","Private","Single Family Home","$707","49","11","11","All Cash","04/04/2016","$64.24","$65.23","1.02","CHARLES RUTENBERG REALTY","Paul Larson","261200934","Javed Mirza","261013291","261092630","O","Orlando Regional"
"1","O5425613","SLD","6207 LAURELWOOD CT","ORLANDO","32808","ROBINSWOOD HEIGHTS 7TH ADD","1,250","$70,000","3","2","0","1966","None","Single Family Home","$1,149","0","0","0","All Cash","03/28/2016","$56.00","$56.00","1.00","CHARLES RUTENBERG REALTY","Gina Francis","261081899","Dan Carson","261011573","261213769","O","Orlando Regional"
"1","O5424112","SLD","6323 LAURELWOOD CT","ORLANDO","32818","POWERS PLACE FOURTH ADD","1,692","$135,000","3","2","0","1981","None","Single Family Home","$2,115","9","9","9","New FHA","04/29/2016","$79.79","$79.79","1.00","OVERTON REALTY, INC.","Jean Poitevien","261068811","Pat Pateau","261012407","261071876","O","Osceola"
"1","T2792110","SLD","6431 LAUREN CT","ORLANDO","32818","BEL AIRE WOODS FIRST ADD","1,225","$140,000","3","2","0","1968","Private","Single Family Home","$1,369","21","21","92","New FHA","04/29/2016","$118.37","$114.29","0.97","LA ROSA REALTY, LLC","Randy Cadely","261550239","Lori Love","55171","261063732","T","Orlando Regional"
"1","O5397187","SLD","1903 LAUREN BETH AVE","OCOEE","34761","OCOEE HEIGHTS","1,008","$106,000","2","1","0","1982","None","Single Family Home","$1,353","56","56","56","New FHA","01/19/2016","$108.13","$105.16","0.97","SMITH MCINTOSH PROPERTIES, INC","Brian Smith","261072223","Yanett Saborido","260503109","260501100","O","Orlando Regional"
"1","O5369337","SLD","1908 LAUREN BETH AVE","OCOEE","34761","OCOEE HEIGHTS","1,000","$106,000","3","1","0","1982","None","Single Family Home","$1,437","21","7","7","New FHA","08/14/2015","$107.90","$106.00","0.98","COLDWELL BANKER RESIDENTIAL RE","Gregg Hade","261207111","Pam Bozkurt","55124","261071148","O","Orlando Regional"
"1","O5416324","SLD","2003 LAUREN BETH AVE","OCOEE","34761","OCOEE HEIGHTS","1,332","$111,500","3","1","0","1983","None","Single Family Home","$1,433","6","6","34","All Cash","03/11/2016","$87.76","$83.71","0.95","COLDWELL BANKER RESIDENTIAL RE","Lauren Campbell, LLC","261086885","German Guardiola","56128","261205543","O","Orlando Regional"
"1","O5369261","SLD","3005 LAURESSA LN","ORLANDO","32805","ACREAGE & UNREC","760","$30,000","2","1","0","1951","None","Single Family Home","$391","37","37","42","All Cash","07/21/2015","$46.05","$39.47","0.86","Century 21 Professional Group","Deanna Balcerak","261202352","Christy Almonte","773513","261548279","O","Orlando Regional"
"1","O5388877","SLD","3100 LAURESSA LN","ORLANDO","32805","33RD ST PARK","1,482","$56,500","3","2","0","1953","None","Single Family Home","$138","21","21","21","All Cash","10/01/2015","$39.07","$38.12","0.98","FLAMINGO REALTY OF ORLANDO","Abe Abdallah","261001003","Sasha Mabed","50667","261209519","O","Orlando Regional"
"1","S4825851","SLD","3106 LAURESSA LN","ORLANDO","32805","33RD ST PARK","1,264","$75,000","3","1","0","1933","None","Single Family Home","$745","37","37","4","New FHA","02/29/2016","$53.80","$59.34","1.10","BUSTAMANTE REAL ESTATE INC","Andrey Bustamante","272502853","Linda Galvins","261011075","268003330","S","Orlando Regional"
"1","O5413024","SLD","13151 LAVER LN","ORLANDO","32824","CLUB COURTS AT MEADOW WOODS PH 01","1,036","$140,000","2","2","0","1991","None","Single Family Home","$691","11","11","11","All Cash","01/29/2016","$139.96","$135.14","0.97","RE/MAX 200 REALTY","Roxanne Krywacz","272502580","Felix Ramos","56563","272507996","O","Orlando Regional"
"1","O5411796","SLD","2408 LAWANNA DR","ORLANDO","32807","IVANHOE ESTATES","1,040","$83,000","3","1","0","1971","None","Single Family Home","$597","12","12","12","All Cash","01/27/2016","$77.02","$79.81","1.04","MICKEY HAGE INC","Mickey Hage","261011104","Maite Gonzalez","51957EE","272500811","O","Orlando Regional"
"1","O5347326","SLD","4505 LAZY H LN","CHRISTMAS","32709","ACREAGE & UNREC","2,228","$122,000","4","2","0","1973","None","Single Family Home","$3,929","112","112","131","All Cash","07/31/2015","$67.32","$54.76","0.81","SUTTON & SUTTON REALTY, INC.","Stacey Mortensen","261087515","Linda Barresi","51012","772005603","O","Orlando Regional"
"1","O5350738","SLD","7209 LAZY HILL DR","ORLANDO","32818","HIAWASSEE HILLS UNIT 03A","1,198","$100,000","3","2","0","1986","None","Single Family Home","$832","5","5","5","New FHA","12/30/2015","$104.34","$83.47","0.80","HOMEVEST REALTY","Bryan Blake","261209520","Elkin Marcillo","261011853","261206643","O","Orlando Regional"
"1","O5389384","SLD","7225 LAZY HILL DR","ORLANDO","32818","HIAWASSEE HILLS UNIT 03A","1,279","$128,000","3","2","0","1986","None","Single Family Home","$863","25","25","25","New FHA","11/17/2015","$107.11","$100.08","0.93","AMERITEAM REALTY, INC.","Daimen Fleming","261206703","Pat Pateau","261012407","261071876","O","Orlando Regional"
"1","O5419102","SLD","7257 LAZY HILL DR","ORLANDO","32818","HIAWASSEE HILLS UNIT 03A","1,394","$133,000","3","2","0","1986","None","Single Family Home","$1,660","112","4","4","New FHA","03/15/2016","$97.38","$95.41","0.98","EMPIRE NETWORK REALTY","Imlinn Philogene","261213295","Alex Sylvain","261011762","261094311","O","Orlando Regional"
"1","O5361551","SLD","7265 LAZY HILL DR","ORLANDO","32818","HIAWASSEE HILLS UNIT 03A","1,432","$90,169","3","2","0","1986","None","Single Family Home","$1,373","10","10","10","All Cash","05/28/2015","$62.15","$62.97","1.01","Yche Realty","Ali Yche","272503143","Thomas Staples","56563","261092359","O","Orlando Regional"
"1","O5393723","SLD","7265 LAZY HILL DR","ORLANDO","32818","HIAWASSEE HILLS UNIT 03A","1,432","$133,000","3","2","0","1986","None","Single Family Home","$1,373","64","28","40","All Cash","11/16/2015","$97.77","$92.88","0.95","BOSMAN REALTY","Patrick Bosman","261093635","Stacie Taylor","261012230","261066832","O","Orlando Regional"
"1","O5361974","SLD","7396 LAZY HILL DR","ORLANDO","32818","HIAWASSEE HILLS UNIT 04","1,724","$133,900","3","2","1","1986","None","Single Family Home","$942","35","35","35","Assume Conventional","06/30/2015","$77.67","$77.67","1.00","LEMONTREE REALTY LLC","Heather Unger, PA","261085856","Anthony Riviezzo","59714","261017978","O","Orlando Regional"
"1","O5350374","SLD","10441 LAZY LAKE DR","ORLANDO","32821","LAKE RIDGE VILLAGE","1,312","$123,000","2","2","0","1982","None","Single Family Home","$1,173","45","45","57","All Cash","05/22/2015","$98.70","$93.75","0.95","REAL ESTATE PROFESSIONALS SE","David Kellam","261010527","Eugene Petriella","272507157","272505419","O","Orlando Regional"
"1","O5377649","SLD","10713 LAZY LAKE DR","ORLANDO","32821","LAKE RIDGE VILLAGE","1,394","$145,000","2","2","0","1982","Community","Single Family Home","$1,050","7","7","7","New Conventional","09/25/2015","$103.95","$104.02","1.00","WILLIAMSBURG REALTY, INC.","Mark Morgan","261062735","Ingram Rivera","272506854","261068041","O","Orlando Regional"
"1","O5358582","SLD","5119 LAZY LAKE CIR","ORLANDO","32821","LAKE RIDGE VILLAGE","1,612","$133,523","3","2","0","1983","Community","Single Family Home","$1,485","157","138","138","All Cash","09/23/2015","$94.23","$82.83","0.88","CITY REALTY PARTNERS INC","Mauricio Payan","279582712","NON MFR REALTOR","55055","123456789","O","Orlando Regional"
"1","O5344315","SLD","2213 LE HAVRE BLVD","ORLANDO","32808","RIVIERA SHORES","1,464","$49,900","3","2","0","1969","Private","Single Family Home","$602","104","104","104","All Cash","06/12/2015","$40.92","$34.08","0.83","LEMONTREE REALTY LLC","Heather Unger, PA","261085856","Andy Chen","261011596","261212677","O","Orlando Regional"
"1","O5372847","SLD","5036 LEDGEWOOD WAY","ORLANDO","32821","LAKE RIDGE VILLAGE","1,827","$130,000","3","2","0","1983","None","Single Family Home","$1,351","43","43","217","New FHA","04/29/2016","$69.51","$71.15","1.02","UNION II REALTY & INVT LLC","Luciana Mino","261206353","Ethel Urbina","272504168","272502316","O","Orlando Regional"
"1","O5383428","SLD","1807 S LEE AVE","ORLANDO","32805","ANGEBILT ADD","1,136","$54,000","3","1","0","1948","None","Single Family Home","$1,327","9","9","9","All Cash","09/11/2015","$50.09","$47.54","0.95","CENTURY 21 ROO REALTY","Julie Herman","261211303","Mabel Perez","261012158","261064900","O","Orlando Regional"
"1","O5359867","SLD","316 N LEE AVE","ORLANDO","32805","OVERSTREET SUNSET SUB","1,100","$28,514","3","1","0","1998","None","Single Family Home","$1,522","34","34","13","All Cash","05/18/2015","$25.67","$25.92","1.01","Carrington Real Estate Service","Jenn Halstrom","261209276","Riaz Abid","50895","261201680","O","Orlando Regional"
"1","O5320818","SLD","3426 LEEMOORE PL","ORLANDO","32818","SILVER STAR ESTATES","1,624","$75,000","3","2","0","1992","None","Single Family Home","$813","10","10","10","New Private","06/19/2015","$40.02","$46.18","1.15","MICHEL REALTY LLC","Adelin Abraham","261207644","Jean Cidel","261012201","261211845","O","Orlando Regional"
"1","O5400855","SLD","3426 LEEMOORE PL","ORLANDO","32818","SILVER STAR ESTATES","1,624","$139,000","3","2","0","1992","None","Single Family Home","$813","8","8","8","New FHA","02/25/2016","$85.59","$85.59","1.00","MICHEL REALTY LLC","Adelin Abraham","261207644","William Jusme","55973","261068026","O","Orlando Regional"
"1","O5392768","SLD","3433 LEEMOORE PL","ORLANDO","32818","SILVER STAR ESTATES","1,844","$139,500","4","2","0","1961","None","Single Family Home","$1,250","145","145","145","New FHA","03/16/2016","$75.65","$75.65","1.00","SUNSTATE REALTY OF CENTRAL FL","Jean Cidel","261211845","Elena Cruz","261011853","261208103","O","Orlando Regional"
"1","O5384596","SLD","1066 LEEWAY CT","ORLANDO","32810","KINGSWOOD MANOR","2,322","$125,500","5","2","1","1971","None","Single Family Home","$3,043","19","19","19","All Cash","09/11/2015","$55.94","$54.05","0.97","HOMEVEST REALTY","Shaunda Hall","261064996","Shaunda Hall","54033","261064996","O","Orlando Regional"
"1","O5339712","SLD","1082 LEEWAY CT","ORLANDO","32810","KINGSWOOD MANOR 7TH ADD","1,063","$111,000","3","1","1","1971","None","Single Family Home","$2,425","22","22","128","All Cash","06/29/2015","$89.37","$104.42","1.17","BHHS RESULTS REALTY","Gladys Marrero","261082681","Sandra Canzio","53108","261210982","O","Orlando Regional"
"1","L4709915","SLD","1090 LEEWAY CT","ORLANDO","32810","KINGSWOOD MANOR 7TH ADD","1,002","$104,000","3","1","1","1971","None","Single Family Home","$1,766","5","5","5","New FHA","01/26/2016","$103.79","$103.79","1.00","PROPERTY SHOPPE OF CENTRAL FL","Rachel Bragg","265577967","Gladys Marrero","261011792","261082681","L","Lakeland"
"1","O5394615","SLD","1409 LEEWAY AVE","ORLANDO","32810","KINGSWOOD MANOR FIFTH ADD","1,648","$141,000","4","2","0","1963","Private","Single Family Home","$2,213","85","85","94","All Cash","01/13/2016","$86.17","$85.56","0.99","LEMONTREE REALTY LLC","Heather Unger, PA","261085856","Joshua Fletcher","261012158","261213894","O","Orlando Regional"
"1","O5366890","SLD","1534 LEEWAY AVE","ORLANDO","32810","KINGSWOOD MANOR FIFTH ADD","1,458","$159,900","3","2","0","1963","Community","Single Family Home","$1,149","24","24","55","New Conventional","08/18/2015","$109.67","$109.67","1.00","HOMEVEST REALTY","Jason Sandvil","261202551","Brian Ebrecht","55237","261208118","O","Orlando Regional"
"1","O5370537","SLD","7703 LEGACY LN","ORLANDO","32818","COUNTRY CHASE UNIT 02","1,167","$110,000","3","2","0","1990","None","Single Family Home","$1,557","15","15","15","New Conventional","08/28/2015","$110.11","$94.26","0.86","LEMONTREE REALTY LLC","Heather Unger, PA","261085856","Faneeza Mohamed","261012158","261072715","O","Orlando Regional"
"1","O5404126","SLD","1919 LEISURE DR","ORLANDO","32808","ROBINSWOOD SEC 06","1,901","$40,000","4","2","0","1959","None","Single Family Home","$479","4","4","33","All Cash","01/22/2016","$23.62","$21.04","0.89","FLORIDA DREAMS REALTY GRP INC","Adriana Montes","261085563","Adriana Montes","261010918","261085563","O","Orlando Regional"
"1","O5360862","SLD","2005 LEISURE DR","ORLANDO","32808","ROBINSWOOD SEC 06","1,679","$47,102","3","2","0","1959","None","Single Family Home","$469","11","11","20","All Cash","07/08/2015","$27.40","$28.05","1.02","1 ABLE REALTY LLC","Jarrett West","261096647","Blanca Sanchez","51122I","261097083","O","Orlando Regional"
"1","O5373496","SLD","2020 LEISURE DR","ORLANDO","32808","ROBINSWOOD SEC 06","1,540","$50,000","3","2","0","1959","Private","Single Family Home","$553","12","12","12","All Cash","08/24/2015","$26.56","$32.47","1.22","EXIT REALTY CENTRAL","Robert Christiano","261092935","Nesterine Blair-Brandon","261010934","261073099","O","Orlando Regional"
"1","O5405772","SLD","2020 LEISURE DR","ORLANDO","32808","ROBINSWOOD SEC 06","1,540","$128,000","4","2","0","1959","Private","Single Family Home","$553","54","54","54","New FHA","02/02/2016","$88.25","$83.12","0.94","BLAIR REALTY GROUP INC","Nesterine Blair-Brandon","261073099","Devin Sims","56969","261204314","O","Orlando Regional"
"1","O5350564","SLD","907 LEJAY ST","ORLANDO","32825","VALENCIA GREENS","1,139","$137,900","4","2","0","1997","None","Single Family Home","$1,671","10","10","95","New FHA","07/30/2015","$118.44","$121.07","1.02","RE/MAX INNOVATION","Veronica Figueroa","272502305","Yuslaydis Zambrano","261011488","261210655","O","Orlando Regional"
