"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5377043","SLD","110 E FAITH TER","MAITLAND","32751","NORTHWOOD HEIGHTS","1,671","$219,000","3","2","0","1956","None","Single Family Home","$2,290","5","5","5","New Conventional","08/14/2015","$131.60","$131.06","1.00","SAND DOLLAR REALTY GROUP INC","Robert Arnold, Jr","261061021","Janice Cullity","51584","261009592","O","Orlando Regional"
"1","O5364402","SLD","120 E FAITH TER","MAITLAND","32751","NORTHWOOD HEIGHTS","2,076","$215,000","3","2","0","1957","Private","Single Family Home","$1,733","90","90","101","New Conventional","09/30/2015","$110.31","$103.56","0.94","KOHLER REALTY, LLC","Linda Brandt","261083780","Deborah Brubaker","50096","261071877","O","Orlando Regional"
"1","O5396489","SLD","125 E FAITH TER","MAITLAND","32751","NORTHWOOD HEIGHTS","1,696","$195,000","3","2","0","1969","None","Single Family Home","$1,065","96","96","96","All Cash","02/26/2016","$120.81","$114.98","0.95","KOHLER REALTY, LLC","Erik Kohler","261202896","Sue Gilman","261012230","261208818","O","Orlando Regional"
"1","O5390821","SLD","145 E FAITH TER","MAITLAND","32751","NORTHWOOD HEIGHTS","1,797","$188,750","3","2","0","1957","None","Single Family Home","$2,189","66","66","66","New Conventional","12/04/2015","$109.02","$105.04","0.96","CHARLES RUTENBERG REALTY","Jennifer Staubly","261084185","Terry Diederich","56037","261067665","O","Orlando Regional"
"1","O5404922","SLD","170 E FAITH TER","MAITLAND","32751","NORTHWOOD HEIGHTS","2,172","$179,000","3","2","0","1957","None","Single Family Home","$2,475","101","28","28","All Cash","12/31/2015","$87.48","$82.41","0.94","SAND DOLLAR REALTY GROUP INC","Robert Arnold, Jr","261061021","Steve Clayson","261012230","261214189","O","Orlando Regional"
"1","O5366668","SLD","506 W FAITH TER","MAITLAND","32751","OAKLAND SHORES","2,369","$327,000","3","2","0","1957","None","Single Family Home","$2,027","131","131","131","Other","10/19/2015","$144.74","$138.03","0.95","MACERA REALTY GROUP INC","Dawn Taylor","261072131","Troy Stevens","50925","261086880","O","Osceola"
"1","O5401432","SLD","515 FAITH TER","MAITLAND","32751","OAKLAND SHORES","2,205","$295,000","4","2","0","1956","None","Single Family Home","$3,964","23","23","23","New Conventional","12/31/2015","$142.81","$133.79","0.94","RE/MAX DOWNTOWN","Jason Asa","261093367","Pamela Ryan","55779","261073310","O","Orlando Regional"
"1","O5381015","SLD","628 FALCON CT","WINTER SPRINGS","32708","GREENSPOINTE","1,295","$155,000","3","2","0","1991","None","Single Family Home","$2,182","145","145","146","New Conventional","02/29/2016","$119.61","$119.69","1.00","MIGHTY REALTY INC","Aaron Mighty","261094832","Tom Bisienere","55171","261083104","O","Orlando Regional"
"1","O5385552","SLD","632 FALCON CT","WINTER SPRINGS","32708","GREENSPOINTE","1,554","$120,000","3","2","0","1986","Community","Single Family Home","$2,382","16","16","16","All Cash","09/25/2015","$85.71","$77.22","0.90","MICKEY HAGE INC","Mickey Hage","261011104","Najee Owens","51957EE","261212268","O","Orlando Regional"
"1","O5401962","SLD","2636 FALLBROOK DR","OVIEDO","32765","LITTLE CREEK PH 1B","1,696","$263,500","3","2","0","1995","Private","Single Family Home","$3,669","76","76","76","New Conventional","02/19/2016","$158.90","$155.37","0.98","Keller Williams Heritage Realt","Cynde Velez","261204258","Amanda Miller","51957H","261073806","O","Orlando Regional"
"1","O5380805","SLD","2638 FALLBROOK DR","OVIEDO","32765","LITTLE CREEK PH 1B","2,101","$275,000","4","2","0","1994","None","Single Family Home","$2,553","2","2","2","New Conventional","08/20/2015","$130.84","$130.89","1.00","FLORIDA HOME TEAM REALTY","Marty Hunt","261010869","Zell Sladek","261010254","261201011","O","Orlando Regional"
"1","O5345241","SLD","276 FALLEN PALM DR","CASSELBERRY","32707","DEER RUN UNIT 08A","1,578","$186,000","3","2","0","1983","Private","Single Family Home","$2,200","83","83","136","New FHA","07/31/2015","$123.57","$117.87","0.95","FREDA REALTY, INC.","Matthew Freda","272501485","Martha Grasty","53164","261086960","O","Orlando Regional"
"1","O5407271","SLD","284 FALLEN PALM DR","CASSELBERRY","32707","DEER RUN UNIT 8A","2,264","$224,000","4","2","0","1983","Community","Single Family Home","$2,108","5","5","5","New Conventional","01/07/2016","$101.33","$98.94","0.98","COLDWELL BANKER RESIDENTIAL RE","Laura Beasley","261073944","Patricia Czupka","50933A","261071358","O","Orlando Regional"
"1","O5399739","SLD","2321 FALMOUTH RD","MAITLAND","32751","ENGLISH ESTATES UNIT 2","1,798","$215,000","3","2","0","1963","Private","Single Family Home","$1,525","0","0","0","New FHA","10/21/2015","$119.58","$119.58","1.00","WATSON REALTY CORP","Mike Long","261206538","Mike Long","51122C","261206538","O","Orlando Regional"
"1","O5394814","SLD","2344 FALMOUTH RD","MAITLAND","32751","ENGLISH ESTATES UNIT 2","1,954","$217,500","3","2","0","1961","None","Single Family Home","$2,729","137","137","142","Assume FHA/VA","03/31/2016","$115.10","$111.31","0.97","PHYLLIS KENT REAL ESTATE LLC","Phyllis Kent","261091040","Linda Freund","276511404","276511405","O","Orlando Regional"
"1","O5362786","SLD","2647 FALMOUTH RD","MAITLAND","32751","INDIAN HILLS UNIT 1 REP","1,993","$255,000","4","2","0","1968","Private","Single Family Home","$2,637","18","18","18","All Cash","06/19/2015","$132.97","$127.95","0.96","ROTENBERGER LAND & REAL ESTATE","Brian Rotenberger","261206058","Lisa Gould","261012230","261014422","O","Orlando Regional"
"1","O5364558","SLD","825 FANTASY LN","CHULUOTA","32766","CHULA WOODS","1,350","$175,000","3","2","0","2000","None","Single Family Home","$2,030","2","2","2","New FHA","06/30/2015","$132.59","$129.63","0.98","Mainframe Real Estate","Justin Dalrymple","261097234","Justin Dalrymple","261010675","261097234","O","Orlando Regional"
